N,T,suffix,periods,method,obj,gap_obj,time,number_periods,
50,15,DD_DF01,[1/ 2/ 6],simple_heuristic,153273.3700000001,166.0,0.10932016372680664,3,
50,15,DD_DF01,[1/ 2/ 6],heuristic_v2,153273.3700000001,166.0,0.06487703323364258,3,
50,15,DD_DF01,[1/ 2/ 6],mc,92399.56999999998,100.0,0.22798919677734375,3,
50,15,DD_DF02,[1/ 13/ 15],simple_heuristic,160452.52000000002,138.0,0.08350586891174316,3,
50,15,DD_DF02,[1/ 13/ 15],heuristic_v2,160452.52000000002,138.0,0.16653680801391602,3,
50,15,DD_DF02,[1/ 13/ 15],mc,116501.18000000002,100.0,0.18500900268554688,3,
50,15,DD_DF03,[1/ 6/ 14],simple_heuristic,158505.62999999995,198.0,0.1249699592590332,3,
50,15,DD_DF03,[1/ 6/ 14],heuristic_v2,158505.62999999995,198.0,0.08652901649475098,3,
50,15,DD_DF03,[1/ 6/ 14],mc,80028.53999999996,100.0,0.1603071689605713,3,
50,15,DD_DF04,[1/ 2/ 12],simple_heuristic,146316.78000000014,157.0,0.11055207252502441,3,
50,15,DD_DF04,[1/ 2/ 12],heuristic_v2,101145.10000000003,109.0,0.09096431732177734,3,
50,15,DD_DF04,[1/ 2/ 12],mc,93110.51000000001,100.0,0.14242100715637207,3,
50,15,DD_DF05,[1/ 8/ 14],simple_heuristic,159351.67000000004,212.0,0.09410715103149414,3,
50,15,DD_DF05,[1/ 8/ 14],heuristic_v2,88710.80999999994,118.0,0.08975696563720703,3,
50,15,DD_DF05,[1/ 8/ 14],mc,75127.67000000001,100.0,0.19388985633850098,3,
50,15,DD_DF06,[1/ 10/ 6],simple_heuristic,155720.15999999997,228.0,0.11164498329162598,3,
50,15,DD_DF06,[1/ 10/ 6],heuristic_v2,155720.15999999997,228.0,0.07027101516723633,3,
50,15,DD_DF06,[1/ 10/ 6],mc,68294.12,100.0,0.12847280502319336,3,
50,15,DD_DF07,[1/ 12/ 2],simple_heuristic,159237.71000000002,168.0,0.09206485748291016,3,
50,15,DD_DF07,[1/ 12/ 2],heuristic_v2,159237.71000000002,168.0,0.06925606727600098,3,
50,15,DD_DF07,[1/ 12/ 2],mc,94637.90999999999,100.0,0.13189697265625,3,
50,15,DD_DF08,[1/ 2/ 14],simple_heuristic,157229.19000000006,135.0,0.09315323829650879,3,
50,15,DD_DF08,[1/ 2/ 14],heuristic_v2,157229.19000000006,135.0,0.07361793518066406,3,
50,15,DD_DF08,[1/ 2/ 14],mc,116562.68999999994,100.0,0.12789201736450195,3,
50,15,DD_DF09,[1/ 12/ 6],simple_heuristic,151482.15999999997,236.0,0.11088109016418457,3,
50,15,DD_DF09,[1/ 12/ 6],heuristic_v2,151482.15999999997,236.0,0.07415199279785156,3,
50,15,DD_DF09,[1/ 12/ 6],mc,64088.05999999988,100.0,0.13450384140014648,3,
50,15,DD_DF10,[1/ 9/ 3],simple_heuristic,128761.52000000002,176.0,0.08199906349182129,3,
50,15,DD_DF10,[1/ 9/ 3],heuristic_v2,84732.37,116.0,0.08190393447875977,3,
50,15,DD_DF10,[1/ 9/ 3],mc,73069.13999999998,100.0,0.13832879066467285,3,
50,15,DD_DF01,[1/ 13],simple_heuristic,153273.3700000001,134.0,0.08320116996765137,2,
50,15,DD_DF01,[1/ 13],heuristic_v2,153273.3700000001,134.0,0.06241106986999512,2,
50,15,DD_DF01,[1/ 13],mc,114309.75,100.0,0.10495710372924805,2,
50,15,DD_DF02,[1/ 12],simple_heuristic,160384.02000000002,153.0,0.08119988441467285,2,
50,15,DD_DF02,[1/ 12],heuristic_v2,105038.24000000005,100.0,0.09412789344787598,2,
50,15,DD_DF02,[1/ 12],mc,105038.24,100.0,0.12267804145812988,2,
50,15,DD_DF03,[1/ 14],simple_heuristic,158505.62999999995,124.0,0.09112191200256348,2,
50,15,DD_DF03,[1/ 14],heuristic_v2,158505.62999999995,124.0,0.09094595909118652,2,
50,15,DD_DF03,[1/ 14],mc,127628.99999999997,100.0,0.15263605117797852,2,
50,15,DD_DF04,[1/ 11],simple_heuristic,146537.2200000001,157.0,0.17718505859375,2,
50,15,DD_DF04,[1/ 11],heuristic_v2,93193.58000000007,100.0,0.08907699584960938,2,
50,15,DD_DF04,[1/ 11],mc,93193.58,100.0,0.18361377716064453,2,
50,15,DD_DF05,[1/ 7],simple_heuristic,159417.67000000004,173.0,0.08812713623046875,2,
50,15,DD_DF05,[1/ 7],heuristic_v2,159417.67000000004,173.0,0.06735396385192871,2,
50,15,DD_DF05,[1/ 7],mc,92112.28,100.0,0.13788199424743652,2,
50,15,DD_DF06,[1/ 2],simple_heuristic,155720.15999999997,110.0,0.08307886123657227,2,
50,15,DD_DF06,[1/ 2],heuristic_v2,155720.15999999997,110.0,0.08855509757995605,2,
50,15,DD_DF06,[1/ 2],mc,141348.23999999987,100.0,0.17200899124145508,2,
50,15,DD_DF07,[1/ 15],simple_heuristic,159237.71000000002,110.0,0.10731077194213867,2,
50,15,DD_DF07,[1/ 15],heuristic_v2,159237.71000000002,110.0,0.06660580635070801,2,
50,15,DD_DF07,[1/ 15],mc,144572.87999999995,100.0,0.10036897659301758,2,
50,15,DD_DF08,[1/ 15],simple_heuristic,157229.19000000006,111.0,0.08128595352172852,2,
50,15,DD_DF08,[1/ 15],heuristic_v2,157229.19000000006,111.0,0.09522604942321777,2,
50,15,DD_DF08,[1/ 15],mc,142078.58999999997,100.0,0.13904309272766113,2,
50,15,DD_DF09,[1/ 4],simple_heuristic,151482.15999999997,137.0,0.12383103370666504,2,
50,15,DD_DF09,[1/ 4],heuristic_v2,151482.15999999997,137.0,0.06754398345947266,2,
50,15,DD_DF09,[1/ 4],mc,110458.55999999997,100.0,0.11687898635864258,2,
50,15,DD_DF10,[1/ 15],simple_heuristic,154263.2400000001,108.0,0.16361618041992188,2,
50,15,DD_DF10,[1/ 15],heuristic_v2,154263.2400000001,108.0,0.06820511817932129,2,
50,15,DD_DF10,[1/ 15],mc,142726.78000000003,100.0,0.10577011108398438,2,
